traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
1,0,0,2,1,1,1,1,0,0,0,2,1,0,0,1,1,0,0,19,3,12
1,1,1,1,1,0,1,0,0,0,1,4,1,2,0,0,0,0,1,15,1,11
0,1,0,0,1,0,0,1,1,1,0,2,1,3,0,0,0,1,1,20,1,1
1,1,1,2,0,0,1,0,1,1,1,4,0,3,0,0,1,1,0,22,4,7
1,1,1,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,2,14,4,9
0,2,1,1,0,1,0,1,1,1,0,3,0,2,0,0,1,0,1,13,3,4
0,2,0,2,1,1,0,0,0,1,0,2,0,2,0,0,0,0,0,16,3,10
0,1,0,1,0,0,1,0,0,1,0,3,1,2,0,0,1,0,1,6,2,6
1,1,0,2,0,1,0,1,0,1,1,3,1,3,0,1,0,0,0,13,1,2
0,2,1,1,0,0,0,1,1,1,1,2,0,1,0,1,0,0,2,6,6,11
0,2,0,2,0,0,1,0,0,0,1,3,0,2,0,0,1,1,1,23,2,6
1,1,0,1,0,1,0,0,1,1,1,2,0,1,0,1,0,0,1,1,3,7
0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,1,1,0,1,21,7,8
1,1,0,1,0,1,1,0,0,1,0,2,1,3,0,0,1,0,0,4,5,9
0,0,1,2,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,5,3,7
0,2,0,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,9,4,5
1,2,1,2,1,1,1,0,1,1,0,1,1,2,0,0,0,0,1,14,5,5
0,0,0,2,1,1,1,1,1,1,1,1,0,3,0,1,1,1,0,13,3,1
0,1,0,2,0,0,0,0,1,0,0,2,0,1,0,1,1,1,2,23,2,1
2,0,1,0,0,1,0,1,0,1,1,3,1,3,0,1,1,0,0,19,7,6
0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,3,4,12
1,2,0,2,1,0,0,0,1,1,1,4,1,1,0,1,1,0,1,19,2,10
0,2,0,1,1,1,1,0,1,1,0,2,0,0,0,1,1,1,0,9,4,5
2,2,1,1,1,0,1,0,0,0,1,1,0,3,0,1,1,0,2,9,2,6
2,2,1,2,0,0,0,1,0,0,0,2,1,2,0,0,1,1,2,21,1,9
2,2,0,1,0,1,1,0,0,0,1,4,1,2,0,1,0,0,2,2,4,2
1,2,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,1,2,7,2,11
1,2,0,1,1,0,1,1,1,0,0,2,0,3,0,0,0,1,1,16,3,5
1,1,0,2,0,1,1,1,1,1,0,4,1,0,0,0,1,1,1,22,1,4
0,1,1,0,1,0,0,1,1,0,0,4,1,1,0,1,1,1,0,21,4,12
1,1,1,1,0,1,0,0,0,0,1,1,0,3,0,1,0,1,2,5,6,9
0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,2,8,6,4
0,2,0,2,1,1,1,0,1,0,1,3,0,1,0,1,0,1,1,8,6,9
1,2,0,2,0,0,1,0,0,1,1,3,1,2,0,0,1,0,1,0,1,9
1,2,0,1,0,0,1,1,0,1,0,4,1,2,0,1,1,0,1,9,3,6
2,2,0,2,1,0,0,1,1,1,1,1,1,3,0,0,0,0,2,17,2,2
1,0,0,0,0,1,0,0,0,1,1,3,1,2,0,0,0,1,0,13,7,6
0,2,1,2,0,1,1,0,1,1,1,1,1,2,0,0,0,1,2,19,1,3
0,1,0,0,1,1,1,0,1,1,0,3,0,2,0,1,0,0,2,23,2,3
1,0,0,1,1,0,1,1,0,1,1,2,0,3,0,1,0,1,1,13,5,12
1,0,0,1,0,0,1,1,1,0,0,4,1,2,0,1,0,0,2,10,6,7
1,2,1,1,1,0,0,1,0,0,0,2,0,1,0,1,0,0,2,18,3,10
1,2,0,0,1,0,0,1,0,0,1,4,0,1,0,0,0,1,1,17,3,11
0,0,1,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,14,7,7
2,1,0,1,0,1,0,1,1,0,1,1,1,3,0,0,0,0,1,17,6,5
1,1,1,2,0,0,0,1,1,0,1,3,1,1,0,0,0,0,0,11,4,9
0,1,0,0,0,0,1,0,1,0,0,4,0,2,0,0,1,0,2,0,3,2
0,0,0,1,1,0,1,0,1,0,0,2,0,3,0,1,1,0,2,21,6,8
1,0,1,0,1,1,0,0,1,0,1,3,0,3,0,0,1,0,0,18,4,4
2,0,1,0,1,1,1,0,1,1,1,4,0,1,0,0,1,1,1,19,3,1
1,2,1,1,0,0,1,1,1,0,0,1,1,3,0,1,1,1,2,10,4,6
