traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
POLICE/FLAGMAN,RAIN,DARKNESS,PEDESTRIAN,L-INTERSECTION,STRAIGHT ON HILLCREST,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",8,FATAL,6,2,0,12,7,43,16,3,6
NO PASSING,SOIL,DAWN,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,OTHER,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",11,NONINCAPACITATING INJURY,5,3,2,11,11,8,16,1,4
NO PASSING,SLEET/HAIL,UNKNOWN,OTHER NONCOLLISION,"FIVE POINT, OR MORE",STRAIGHT ON GRADE,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,10,INCAPACITATING INJURY,15,2,5,12,14,0,23,3,2
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DUSK,PEDALCYCLIST,DRIVEWAY,STRAIGHT AND LEVEL,DIRT,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",IMPROPER TURNING/NO SIGNAL,1,NO INDICATION OF INJURY,10,2,2,10,1,27,21,6,8
DELINEATORS,FOG/SMOKE/HAZE,DAYLIGHT,PARKED MOTOR VEHICLE,ALLEY,CURVE,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER OVERTAKING/PASSING,10,NO INDICATION OF INJURY,15,1,0,17,5,24,4,4,4
POLICE/FLAGMAN,SOIL,LIGHTED ROAD,REAR TO FRONT,RAMP,CURVE,UNKNOWN,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,6,NONINCAPACITATING INJURY,5,2,2,8,12,48,6,7,4
OTHER RAILROAD CROSSING,CLOUDY/OVERCAST,DARKNESS,ANGLE,CENTER TURN LANE,CURVE ON HILLCREST,DIRT,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),11,INCAPACITATING INJURY,17,3,6,4,6,12,3,3,1
UNKNOWN,FOG/SMOKE/HAZE,UNKNOWN,REAR TO FRONT,UNKNOWN,STRAIGHT ON HILLCREST,DRY,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",ANIMAL,10,NONINCAPACITATING INJURY,10,1,4,3,8,0,15,6,8
BICYCLE CROSSING SIGN,BLOWING SNOW,DARKNESS,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),LEVEL,SNOW OR SLUSH,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DRIVING ON WRONG SIDE/WRONG WAY,2,INCAPACITATING INJURY,13,3,4,2,0,14,2,4,8
DELINEATORS,FREEZING RAIN/DRIZZLE,LIGHTED ROAD,PARKED MOTOR VEHICLE,ROUN,STRAIGHT ON HILLCREST,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,4,NO INDICATION OF INJURY,15,3,1,20,10,46,6,2,2
